id	user_visible_name	source_project	source_files_and_symbols	owner	category	decision	config_keys_and_defaults	console_commands_keybinds	resources_persistence	lifecycle_matrix	mode_matrix	upstream_touchpoints	status	evidence	privacy_and_failure_fallback	performance_budget	tests	smoke_steps_and_failure_signals	legacy_tclient_fields_read	new_state_owner	official_state_source_or_adapter	legacy_accessor_removal_condition	replacement_commit
qm.ui	Qm 新旧 UI、卡片与动画	QmClient	QmUi/*; menus_qmclient.cpp; qmclient/presentation/qm_legacy_settings.cpp	Qm UI owner	Qm_NATIVE	REWRITE	当前已接入 qm_diagnostics、qm_player_indicator_*；legacy/new UI 开关待设计	旧 UI 设置页已接入；导航、搜索、卡片操作待设计	Phosphor Bold atlas、字体、缓存	页面切换、resize、IME、释放待验证	offline/online/editor/preview 待验证	menus bridge	PARTIAL	当前实现：qm_ui_model.* 提供共用卡片注册/按页查询；legacy UI 已在官方设置页末尾追加 QmClient 页面，直接绑定 Qm 配置；新 UI presentation、搜索、持久化、动画和图标 atlas 未实现	未知卡片和资源失败必须回退；不记录用户输入文本	注册/查询不得在高频路径分配业务状态	qmclient_ui_model_test.cpp	重复 ID、冻结 registry、DPI/键盘/IME smoke 待补；Qm legacy 页面控件与设置页持久化需 smoke	无	CQmUiModel + feature models	legacy/new presentation adapters	presentation 接通且旧页面一致后	待提交
qm.player_indicator	Qm 队友方向指示器样板	QmClient	qmclient/features/player_indicator/qm_player_indicator.*; dyl_dev:tclient/player_indicator.*	Qm player indicator owner	Qm_NATIVE	PORT	qm_player_indicator_*，默认关闭；第一阶段集中迁移 14 个旧 tc_* 指示器键，旧键只作为配置输入兼容层	无；UI 卡片待实现	无新增资源；运行时只读官方快照/渲染数据	runtime 接收官方生命周期；indicator 无内部状态；状态切换会刷新 model；无异步任务	offline/connecting/loading/online/dummy/spectator；仅 race live play，demo 明确关闭	CQmRuntime ENTITY_OVERLAY hook；config_variables.h 的 mod 区域	PARTIAL	新实现保留圆点/tee、队伍过滤、冻结/解冻中颜色、屏幕内隐藏和距离偏移；可用性要求在线、非 spectator 且存在本地活动角色；不依赖 TClient 字段；已接入统一配置迁移器，当前键优先；无法解析或超限的旧命令保留为单条 unknown command，官方整数 clamp 语义继续生效；warlist 联动、UI 和真实多人 smoke 待后续	不记录玩家身份；资源/配置异常时保持关闭并保留官方渲染	默认关闭时不进入 feature render；启用后的多人 A/B 待测	qmclient_player_indicator_test.cpp; qmclient_config_migration_test.cpp	开启/关闭、race/non-race、team/frozen/unfreezing/visible、demo、resize smoke；旧配置文件迁移 smoke 待补	无	CQmPlayerIndicator + SQmPlayerIndicatorFrame	官方快照/CGameClient adapter	旧 tc_* 语义对照、UI 接入和多人 smoke 完成后	ec4d8a49c
tc.visual	TC 外观、背景与拖尾	TClient	background_particles.*; bg_draw.*; moving_tiles.*; outlines.*; rainbow.*; trails.*; pet.*; player_indicator.*	TClient migration owner	Qm_NATIVE	PORT	旧 qm_/tc_ 配置待盘点	快捷键待盘点	粒子、背景、拖尾资源	实体层/前景层、地图切换待验证	online/dummy/spectator/demo 待验证	particles/render adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
tc.input	TC 输入、轮盘与聊天绑定	TClient	bindchat.*; bindwheel.*; CTClient::OnInput	TClient migration owner	Qm_NATIVE	PORT	绑定与输入配置待盘点	输入优先级必须单独记录	-	Esc、release、鼠标捕获待验证	offline/online/dummy/menu 待验证	input adapter	INVENTORY	-	用户聊天/绑定内容不进入诊断日志	待补全	待补全	Esc、release、菜单覆盖待补全	禁止读取 TClient 字段	独立 input policy	官方 input adapter	CTClient::OnInput 删除后	-
tc.assist	TC 游戏内辅助	TClient	fast_practice.*; mod.*; statusbar.*; swap_countdown_message.*	TClient migration owner	Qm_NATIVE	PORT	辅助功能配置待盘点	服务器命令、快捷键待盘点	提示资源	断线、重连、dummy、速率限制待验证	online/offline/dummy/demo 待验证	必要时 game-state adapter	INVENTORY	-	失败时不发送额外网络数据；提示资源回退	待补全	待补全	服务器限制、dummy、demo 待补全	禁止读取 TClient 字段	独立 assist policy	read-only game-state adapter	旧辅助入口删除后	-
tc.stats	TC 玩家统计与 Gores	TClient	tclient.h SPlayerStats; Gores distance field; weapon cycle	TClient migration owner	Qm_NATIVE	REWRITE	统计和 Gores 配置待盘点	统计/debug 命令待盘点	地图距离场、缓存	大地图、取消、卸载、tick 待验证	online/dummy/spectator/demo 待验证	禁止改预测/物理	INVENTORY	-	地图和玩家数据按需本地保存，失败时禁用统计	待补全	待补全	大地图、切图取消、预测不变待补全	禁止读取 TClient 字段	stats/gores owned models	官方 map/game-state adapter	TClient stats accessor 删除后	-
tc.maps	TC 地图收藏、分类、笔记与历史	TClient	map_history.*; local save list	TClient migration owner	Qm_NATIVE	REWRITE	地图数据配置待盘点	地图相关命令待盘点	本地文件、损坏和迁移	写盘节流、切图、退出待验证	offline/online/demo 待验证	storage adapter	INVENTORY	-	文件损坏只丢弃该记录并保留核心客户端	待补全	待补全	切图、退出、损坏文件待补全	禁止读取 TClient 字段	map history/storage model	IStorage adapter	旧 map history accessor 删除后	-
tc.server	TC 社区、服务器和 warlist	TClient	custom_communities.*; warlist.*	TClient migration owner	Qm_NATIVE	REVIEW	社区 URL、过滤配置待盘点	刷新/过滤命令待盘点	HTTP 缓存、外部输入	取消、超时、不可用回退待验证	offline/online	browser adapter	INVENTORY	-	外部 URL 校验、服务不可用时使用缓存	待补全	待补全	超时、取消、warlist 颜色语义待补全	禁止读取 TClient 字段	community/warlist model	HTTP/browser adapter	旧 warlist 聚合字段删除后	-
tc.settings	TC 设置与配置展示	TClient	menus_tclient.cpp; config_variables_tclient.h	TClient migration owner	Qm_NATIVE	REWRITE	所有配置键、默认值、描述待盘点	设置入口和搜索待盘点	字体、icon、配置文件	legacy/new UI 一致性待验证	offline/online/editor/preview	menus bridge	INVENTORY	-	配置描述不包含敏感值；未知配置保留官方处理	待补全	待补全	新旧 UI、配置迁移、键盘导航待补全	禁止读取 TClient 字段	settings descriptors/models	menus bridge	旧设置聚合器删除后	-
bc.indicator	BC Client Indicator	BC	旧 BC 状态文档；Qm 中心服识别链	待定	Qm_NATIVE	REVIEW	与 Qm 现有配置差异待盘点	-	中心服/本地缓存	远程方案与 BC 行为差异待验证	online/offline/dummy 待验证	network/service adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
bc.particles	BC 3D Particles	BC	旧状态文档；TC background_particles.*	待定	Qm_ADAPTER	REVIEW	形状、mixed、碰撞、辉光配置待盘点	粒子开关待盘点	粒子资源、shader	渲染层、后端、关闭开销待验证	online/dummy/spectator/demo	particles adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
bc.speedrun	BC Speedrun Timer	BC	旧状态文档；Qm/TC timer 相关线索	待定	Qm_NATIVE	REVIEW	倒计时、过期、auto kill 配置待定义	命令/快捷键待定义	HUD 状态	地图切换、finish、重连待定义	online/demo/spectator	可能需要 HUD adapter	INVENTORY	-	待补全	待补全	待补全	待补全	待补全	待定	待定	待定	-
bc.finish_prediction	BC Finish Prediction	BC	旧状态文档，当前未确认等价实现	待定	UPSTREAM_CHANGE	DEFER	待定义	待定义	-	协议/预测边界待先审查	online/demo	dedicated review	INVENTORY	-	未定义前不采集或上传结果	待定义	待定义	协议/预测专门评审	待盘点	待定义	待定义	专门方案完成后	-
bc.split_timer	BC Split Timer	BC	旧状态文档，当前未确认等价实现	待定	Qm_NATIVE	DEFER	checkpoint 来源待定义	命令/快捷键待定义	HUD 状态	精度、demo、重连待定义	online/demo	dedicated review	INVENTORY	-	只读本地 checkpoint；失败时隐藏计时	待定义	待定义	精度、demo、重连专门测试	待盘点	待定义	HUD adapter	专门方案完成后	-
